grdc	ArcID	lat	lon	river	station
6854600	11284	65.25	26.25	IIJOKI	RAASAKKA (NEAR THE MOUTH)
6854700	10101	66.25	24.75	KEMIJOKI	ISOHAARA (NEAR THE MOUTH)
6854701	10106	66.25	27.25	KEMIJOKI	SEITAKORVA
6854710	9501	66.75	25.25	OUNASJOKI	MARRASKOSKI-IISINKI
6855200	16136	60.75	26.75	KYMIJOKI	ANJALA
6855250	14598	62.25	25.75	LEPPAVESI-PAIJANNE	VAAJAKOSKI (HAAPAKOSKI)
6855400	15642	61.25	28.75	VUOKSI	TAINIONKOSKI
6855401	14071	62.75	30.25	PIELISJOKI	KALTIMO
6855402	14066	62.75	27.75	KALLAVESI	KALLAVESI-KONNUS-KARVIO
6864050	32271	41.75	23.25	STRUMA	MARINO POLE
6865500	31924	42.25	25.75	MARITSA	KHARMANLI
6935054	27543	47.75	8.75	RHINE RIVER	REKINGEN
6935302	27958	47.25	7.25	AARE	MURGENTHAL
6939050	28789	46.25	5.75	RHONE	CHANCY, AUX RIPES
6944250	27144	48.25	23.25	TISZA	VYLOK
6970100	13011	63.75	38.25	ONEGA	POROG
6970102	14625	62.25	39.25	ONEGA	CHEREPOVSKAYA
6970103	15662	61.25	38.75	ONEGA	NADPOROZJSKY POGOST
6970250	12460	64.25	41.75	SEVERNAYA DVINA (NORTHERN DVINA)	UST-PINEGA
6970251	13565	63.25	42.25	SEVERNAYA DVINA (NORTHERN DVINA)	PODOSANYE (ZVOZ)
6970252	15160	61.75	45.25	SEVERNAYA DVINA (NORTHERN DVINA)	ABRAMKOVO
6970270	14632	62.25	42.75	VAGA	UST-SUMA
6970272	16167	60.75	42.25	VAGA	FILYAYEVSKAYA
6970400	11892	64.75	43.25	PINEGA	KULOGORY
6970402	13574	63.25	46.75	PINEGA	SEVERNYY
6970460	16173	60.75	45.25	SUKHONA	BOLSHOYE KALIKINO
6970462	17121	59.75	39.75	SUKHONA	RABANGA
6970500	11897	64.75	45.75	MEZEN	MALONISOGORSKAYA
6970501	13032	63.75	48.75	MEZEN	PYSSA
6970520	12469	64.25	46.25	VASHKA	RESHCHELSKOYE
6970560	10731	65.75	45.75	PEZA	IGUMNOVO (IGUMKOVO)
6970680	15680	61.25	47.75	VYCHEGDA	FEDYAKOVO
6970681	15171	61.75	50.75	VYCHEGDA	SYKTYVKAR
6970682	15177	61.75	53.75	VYCHEGDA	MALAYA KUZHBA (KUZH)
6970700	8406	67.75	52.25	PECHORA	OKSINO
6970701	11331	65.25	52.25	PECHORA	UST-TSILMA
6970702	10161	66.25	55.25	PECHORA	MUTNYY MATERIK
6970703	12492	64.25	57.75	PECHORA	UST-SHCHUGER
6970704	14123	62.75	56.25	PECHORA	TROITSKO-PECHORSK
6970720	14648	62.25	50.75	VYM	POLOVNIKI
6970770	16177	60.75	47.25	LUZA	KRASAVINO (LUZA?)
6970810	11329	65.25	51.25	TSILMA	TRUSOVO
6970850	10170	66.25	59.75	USA (TRIB. PECHORA)	ADZVA
6970851	10173	66.25	61.25	USA (TRIB. PECHORA)	PETRUN
6970901	12484	64.25	53.75	IZHMA (TRIB. PECHORA)	KARTAYEL
6971130	7257	68.75	31.25	TULOMA	VERKHNETULOMSKIY GES
6971400	7266	68.75	35.75	VORONYA	GOLITSINO
6971450	8961	67.25	40.75	PONOY	PONOY
